egt,n1a,n2a,nf,ff,mn,t2,tat,oat,alt,p2e,wai,nai,prv,hpv,xf,acnum,reportts,pos,Predict
910.0,86.68,91.6,86.88,3739.0,0.279,8.2,16.2,6.3,1207.0,14.926,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-08-28 21:41:32,2,33.80828019224081
909.3,85.93,91.77,86.07,3479.0,0.263,12.4,15.5,10.6,2148.0,14.364,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-08-29 1:51:20,2,28.29425862419877
936.3,86.94,92.63,87.1,3607.0,0.27,18.0,17.5,16.3,1245.0,15.128,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-08-29 7:55:57,2,25.134710873885474
876.2,83.25,90.35,83.34,3294.0,0.271,10.3,18.5,8.5,2124.0,14.391,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-08-30 2:47:44,2,24.767906537574376
873.5,81.09,90.61,81.1,2951.0,0.271,21.3,18.7,19.3,2377.0,14.346,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-08-30 6:01:17,2,26.49079895982474
950.0,86.71,93.21,86.83,3565.0,0.255,25.1,24.7,23.1,1036.0,15.326,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-08-30 14:24:32,2,24.556218583619152
989.5,91.13,94.48,91.32,3845.0,0.27,20.1,22.5,,3072.0,13.91,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-08-31 1:52:18,2,25.680225703945904
907.6,84.75,91.78,84.85,3374.0,0.273,17.6,18.5,15.4,1480.0,14.761,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-08-31 9:52:45,2,27.195088202205355
988.4,91.7,94.5,91.89,3913.0,0.297,18.1,24.2,16.1,3407.0,13.896,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-01 2:12:18,2,22.890393714833476
946.0,87.04,93.12,87.17,3491.0,0.266,23.3,22.7,21.3,1684.0,14.705,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-01 9:24:14,2,24.43816680606416
969.0,89.79,93.85,89.99,3927.0,0.28,20.4,22.7,17.0,1666.0,14.76,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-01 18:37:04,2,24.077713821901863
939.0,86.57,93.06,86.69,3475.0,0.265,24.3,25.2,22.4,1393.0,14.827,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-02 17:03:54,2,25.269570441117406
895.6,84.13,91.27,84.21,3273.0,0.27,16.6,20.5,14.3,1688.0,14.687,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-02 23:02:27,2,23.87870173432779
879.1,83.71,90.82,83.78,3008.0,0.28,13.5,18.7,11.3,4257.0,13.404,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-03 2:39:18,2,26.502129892357257
913.1,83.96,92.39,83.99,3162.0,0.262,28.1,27.5,,1306.0,14.856,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-03 13:40:22,2,26.0688633100644
946.8,87.69,93.02,87.87,3437.0,0.279,18.5,17.0,16.3,3450.0,14.003,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-09-04 1:55:02,2,28.298062745645506
926.8,84.25,92.77,84.28,3158.0,0.268,30.6,29.5,28.6,1448.0,14.744,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-04 13:44:41,2,25.038941013642056
910.6,85.31,91.75,85.42,3362.0,0.275,16.5,20.0,14.6,2037.0,14.461,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-04 23:38:21,2,25.280650761148234
918.4,86.0,92.3,86.12,3152.0,0.275,18.9,22.2,16.9,4039.0,13.452,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-05 3:14:29,2,24.94836493938065
922.9,84.27,92.78,84.29,3150.0,0.26,31.1,28.0,28.6,1845.0,14.532,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-05 13:34:55,2,23.695992228878943
847.7,79.63,89.44,79.64,2825.0,0.245,15.1,19.0,13.0,1117.0,14.862,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-05 22:02:39,2,24.57760297879766
878.3,82.43,90.77,82.46,3116.0,0.253,15.8,16.2,14.0,2239.0,14.213,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-09-06 3:30:53,2,25.603557178380502
886.1,83.78,91.0,83.86,3183.0,0.268,15.0,15.5,12.9,2376.0,14.318,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-09-07 15:16:29,2,22.263649908654966
904.3,85.87,91.3,86.06,3367.0,0.283,8.6,8.7,6.7,2762.0,14.124,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-09-08 2:09:45,2,32.69894169581983
993.3,90.81,94.6,91.01,4088.0,0.255,21.9,21.2,19.9,1161.0,14.932,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-09-08 9:05:17,2,27.17053462793777
954.7,87.66,93.5,87.81,3654.0,0.266,23.4,24.0,21.5,1091.0,14.994,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-09-09 12:15:37,2,25.271787282202066
